# CTD Chemical-Gene Interactions (sample)
# Synthetic data for package examples only
# This is NOT real CTD data
# Format mimics CTD_chem_gene_ixns.csv
# See https://ctdbase.org for real data
# Fields:
# ChemicalName
# ChemicalID
# CasRN
# GeneSymbol
# GeneID
# GeneForms
# Organism
# OrganismID
# Interaction
# InteractionActions
# PubMedIDs
# Data generated for ctdR vignette
# Not for research use
# License: Apache 2.0
# Version: synthetic-2.0
# Date: 2024-01-01
# Species: Homo sapiens (9606)
# Chemicals: 10
# Genes: 30
# Rows: 100+
# Contact: ctdR package maintainer
ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
Valproic Acid,D014635,99-66-1,IL6,3569,gene,Homo sapiens,9606,Valproic Acid affects expression of IL6,decreases^expression,89012346
Valproic Acid,D014635,99-66-1,AKT1,207,gene,Homo sapiens,9606,Valproic Acid affects expression of AKT1,increases^expression,89012347
Valproic Acid,D014635,99-66-1,STAT3,6774,gene,Homo sapiens,9606,Valproic Acid affects expression of STAT3,decreases^expression,89012348
Valproic Acid,D014635,99-66-1,VEGFA,7422,gene,Homo sapiens,9606,Valproic Acid affects expression of VEGFA,decreases^expression,89012349
Valproic Acid,D014635,99-66-1,CCND1,595,gene,Homo sapiens,9606,Valproic Acid affects expression of CCND1,decreases^expression,89012350
Valproic Acid,D014635,99-66-1,NFKB1,4790,gene,Homo sapiens,9606,Valproic Acid affects expression of NFKB1,decreases^expression,89012351
Valproic Acid,D014635,99-66-1,ESR1,2099,gene,Homo sapiens,9606,Valproic Acid affects expression of ESR1,increases^expression,89012352
Cisplatin,D002945,15663-27-1,TP53,7157,gene,Homo sapiens,9606,Cisplatin affects expression of TP53,increases^expression,90123456
Cisplatin,D002945,15663-27-1,BRCA1,672,gene,Homo sapiens,9606,Cisplatin affects expression of BRCA1,increases^expression,90123457
Cisplatin,D002945,15663-27-1,EGFR,1956,gene,Homo sapiens,9606,Cisplatin affects expression of EGFR,decreases^expression,90123458
Cisplatin,D002945,15663-27-1,AKT1,207,gene,Homo sapiens,9606,Cisplatin affects expression of AKT1,decreases^expression,90123459
Cisplatin,D002945,15663-27-1,CASP3,836,gene,Homo sapiens,9606,Cisplatin affects expression of CASP3,increases^expression,90123460
Cisplatin,D002945,15663-27-1,BCL2,596,gene,Homo sapiens,9606,Cisplatin affects expression of BCL2,decreases^expression,90123461
Cisplatin,D002945,15663-27-1,MYC,4609,gene,Homo sapiens,9606,Cisplatin affects expression of MYC,decreases^expression,90123462
Cisplatin,D002945,15663-27-1,KRAS,3845,gene,Homo sapiens,9606,Cisplatin affects expression of KRAS,decreases^expression,90123463
Cisplatin,D002945,15663-27-1,PIK3CA,5290,gene,Homo sapiens,9606,Cisplatin affects expression of PIK3CA,decreases^expression,90123464
Cisplatin,D002945,15663-27-1,TNF,7124,gene,Homo sapiens,9606,Cisplatin affects expression of TNF,increases^expression,90123465
Cisplatin,D002945,15663-27-1,IL6,3569,gene,Homo sapiens,9606,Cisplatin affects expression of IL6,increases^expression,90123466
Metformin,D008687,657-24-9,AKT1,207,gene,Homo sapiens,9606,Metformin affects expression of AKT1,decreases^expression,11223344
Metformin,D008687,657-24-9,PIK3CA,5290,gene,Homo sapiens,9606,Metformin affects expression of PIK3CA,decreases^expression,11223345
Metformin,D008687,657-24-9,MYC,4609,gene,Homo sapiens,9606,Metformin affects expression of MYC,decreases^expression,11223346
Metformin,D008687,657-24-9,VEGFA,7422,gene,Homo sapiens,9606,Metformin affects expression of VEGFA,decreases^expression,11223347
Metformin,D008687,657-24-9,CCND1,595,gene,Homo sapiens,9606,Metformin affects expression of CCND1,decreases^expression,11223348
Metformin,D008687,657-24-9,STAT3,6774,gene,Homo sapiens,9606,Metformin affects expression of STAT3,decreases^expression,11223349
Metformin,D008687,657-24-9,EGFR,1956,gene,Homo sapiens,9606,Metformin affects expression of EGFR,decreases^expression,11223350
Metformin,D008687,657-24-9,ESR1,2099,gene,Homo sapiens,9606,Metformin affects expression of ESR1,increases^expression,11223351
Metformin,D008687,657-24-9,IL1B,3553,gene,Homo sapiens,9606,Metformin affects expression of IL1B,decreases^expression,11223352
